"Player Nr. (1, 2)","Winner (H, A)",H Points,A Points
1,H,99+6,97
2,H,94+8,22
1,H,96+5,78
2,H,89+15,45
,,,
1,H,93+12,24
2,H,91+10,27
1,H,90+12,76
2,H,95+7,56
,,,
1,H,86+20,19
2,H,65+36,32
1,H,82+22,58
2,H,89+11,58
,,,
1,H,92+12,87
2,H,93+8,20
1,H,99+5,82
2,H,89+16,69
