"Player Nr. (1, 2)","Winner (H, A)",H Points,A Points
1,H,95+6,37
2,H,92+8,62
1,H,96+46,38
2,H,90+11,89
,,,
1,H,97+6,59
2,H,96+5,93
1,A,98,91+10
2,H,92+10,31
,,,
1,H,86+15,27
2,H,96+4,72
1,H,92+9,17
2,H,93+10,94
,,,
1,H,93+9,35
2,H,90+10,27
1,H,95+7,70
2,H,88+13,80
,,,
1,H,85+15,36
2,H,87+13,78
1,H,99+2,45
2,H,98+4,68
,,,
1,H,84+21,50
2,H,97+8,26
1,H,94+9,88
2,H,92+13,85
