"Player Nr. (1, 2)","Winner (H, A)",H Points,A Points
1,H,92+8,24
2,H,94+12,27
1,H,88+17,13
2,H,97+3,90
,,,
1,H,99+7,57
2,H,93+11,35
1,H,97+5,42
2,H,90+11,59
,,,
1,H,99+2,87
2,H,87+19,45
1,H,87+17,23
2,H,92+9,49
1,A,96,66+38
2,A,90,94+6
1,H,97+6,46
2,H,90+11,84
,,,
1,H,96+6,88
2,H,98+2,67
1,H,97+5,46
2,H,92+11,76
,,,
1,H,93+12,72
2,H,93+8,7
1,H,92+10,73
2,H,94+10,34
,,,
1,H,97+5,46
2,H,95+9,28
1,H,97+8,33
2,H,94+6,91
